IDText;Text;new_text;Tokeniz;dibakukan;stemmed;pre_stem;Kelas_SVM;manual;Kelas_RF;Kelas_SVM_SMOTE_Minority;Kelas_SOMTERF;Kelas_SVM_SMOTE2;Kelas_Voting_Hard;Kelas_Stacking;Kelas_PCAVoting_Hard;Kelas_PCA_Stacking;Kelas_Stacking2;Kelas_Stacking3
TXT0314;"Terima kasih Ganjar-Mahfud, dengan mengalokasikan 50 persen anggaran pemerintah dan BUMN untuk koperasi dan UMKM, semoga makin banyak peluang usaha kecil yang berkembang. @betcheesxz Happy New Year 
#GanjarMahfud2024
#GanjarMahfudM3nang
#L3bihbaik https://t.co/MvxrWeksM0";terima kasih mengalokasikan persen anggaran pemerintah bumn koperasi umkm semoga peluang usaha berkembang betcheesxz happy new year;['terima', 'kasih', 'mengalokasikan', 'persen', 'anggaran', 'pemerintah', 'bumn', 'koperasi', 'umkm', 'semoga', 'peluang', 'usaha', 'berkembang', 'betcheesxz', 'happy', 'new', 'year'];['terima', 'kasih', 'mengalokasikan', 'persen', 'anggaran', 'pemerintah', 'bumn', 'koperasi', 'umkm', 'semoga', 'peluang', 'usaha', 'berkembang', 'betcheesxz', 'happy', 'new', 'year'];['terima', 'kasih', 'alokasi', 'persen', 'anggar', 'perintah', 'bumn', 'koperasi', 'umkm', 'moga', 'peluang', 'usaha', 'kembang', 'betcheesxz', 'happy', 'new', 'year'];terima kasih alokasi persen anggar perintah bumn koperasi umkm moga peluang usaha kembang betcheesxz happy new year;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Sosial Budaya;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Politik;Ekonomi
TXT0315;Demokrasi kita diwujudkan di People Party democracy Februari 2024, mantap! Ayo, kita jadikan momen ini lebih bermakna dengan memilih Ganjar Pranowo. #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK https://t.co/Vj3Zhm8TCJ;demokrasi diwujudkan people party democracy februari mantap ayo jadikan momen bermakna memilih jnk;['demokrasi', 'diwujudkan', 'people', 'party', 'democracy', 'februari', 'mantap', 'ayo', 'jadikan', 'momen', 'bermakna', 'memilih', 'jnk'];['demokrasi', 'diwujudkan', 'people', 'party', 'democracy', 'februari', 'mantap', 'ayo', 'jadikan', 'momen', 'bermakna', 'memilih', 'jnk'];['demokrasi', 'wujud', 'people', 'party', 'democracy', 'februari', 'mantap', 'ayo', 'jadi', 'momen', 'makna', 'pilih', 'jnk'];demokrasi wujud people party democracy februari mantap ayo jadi momen makna pilih jnk;Sosial Budaya;Politik;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Politik;Sosial Budaya
TXT0316;"Ganjar-Mahfud akan membantu memperbaiki iklim investasi di Indonesia. @proveca69 
Happy New Year 
#GanjarMahfud2024
#3MandatGanjarMahfud
#L3bihbaik https://t.co/L6cQBL1dEp";membantu memperbaiki iklim investasi indonesia happy new year;['membantu', 'memperbaiki', 'iklim', 'investasi', 'indonesia', 'happy', 'new', 'year'];['membantu', 'memperbaiki', 'iklim', 'investasi', 'indonesia', 'happy', 'new', 'year'];['bantu', 'baik', 'iklim', 'investasi', 'indonesia', 'happy', 'new', 'year'];bantu baik iklim investasi indonesia happy new year;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Politik;Ekonomi
TXT0317;"Kemarin di Purworejo, ada pertanyaan dari warga bahwa agak aneh buat mereka PKS dan PKB bisa bergabung dlm koalisi yg sama. Saya bilang, bisa saja karena mereka sedang memperjuangkan nilai yg sama: Keadilan Sosial Bagi Seluruh Rakyat Indonesia dgn presentasinya Anies Baswedan - Muhaimin Iskandar. 

Mereka ngangguk-ngangguk dan tepuk tangan. Nilai universal yg sekarang ini dirasa terganggu, memang menjadi pemersatu semua kalangan. Sama seperti saat Perjuangan Kemerdekaan. Semangat itu dirasakan kembali, kini. 

Perjuangan utk perubahan bagi Indonesia yang lebih Baik! Ã°ÂŸÂ’ÂªÃ°ÂŸÂ‡Â®Ã°ÂŸÂ‡Â© [RE Reiza_Patters]";kemarin purworejo warga aneh pks pkb bergabung dlm koalisi bilang memperjuangkan nilai keadilan sosial rakyat indonesia dgn presentasinya anies baswedan iskandar nganggukngangguk tepuk tangan nilai universal dirasa terganggu pemersatu kalangan perjuangan kemerdekaan semangat dirasakan perjuangan utk perubahan indonesia;['kemarin', 'purworejo', 'warga', 'aneh', 'pks', 'pkb', 'bergabung', 'dlm', 'koalisi', 'bilang', 'memperjuangkan', 'nilai', 'keadilan', 'sosial', 'rakyat', 'indonesia', 'dgn', 'presentasinya', 'anies', 'baswedan', 'iskandar', 'nganggukngangguk', 'tepuk', 'tangan', 'nilai', 'universal', 'dirasa', 'terganggu', 'pemersatu', 'kalangan', 'perjuangan', 'kemerdekaan', 'semangat', 'dirasakan', 'perjuangan', 'utk', 'perubahan', 'indonesia'];['kemarin', 'purworejo', 'warga', 'aneh', 'pks', 'pkb', 'bergabung', 'dalam', 'koalisi', 'bilang', 'memperjuangkan', 'nilai', 'keadilan', 'sosial', 'rakyat', 'indonesia', 'dengan', 'presentasinya', 'anies', 'baswedan', 'iskandar', 'nganggukngangguk', 'tepuk', 'tangan', 'nilai', 'universal', 'dirasa', 'terganggu', 'pemersatu', 'kalangan', 'perjuangan', 'kemerdekaan', 'semangat', 'dirasakan', 'perjuangan', 'untuk', 'perubahan', 'indonesia'];['kemarin', 'purworejo', 'warga', 'aneh', 'pks', 'pkb', 'gabung', 'dalam', 'koalisi', 'bilang', 'juang', 'nilai', 'adil', 'sosial', 'rakyat', 'indonesia', 'dengan', 'presentasi', 'anies', 'baswedan', 'iskandar', 'nganggukngangguk', 'tepuk', 'tangan', 'nilai', 'universal', 'rasa', 'ganggu', 'satu', 'kalang', 'juang', 'merdeka', 'semangat', 'rasa', 'juang', 'untuk', 'ubah', 'indonesia'];kemarin purworejo warga aneh pks pkb gabung dalam koalisi bilang juang nilai adil sosial rakyat indonesia dengan presentasi anies baswedan iskandar nganggukngangguk tepuk tangan nilai universal rasa ganggu satu kalang juang merdeka semangat rasa juang untuk ubah indonesia;Sosial Budaya;Politik;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Politik;Sosial Budaya
TXT0318;Pesta demokrasi indonesia bulan depan, karena demokrasi itu penting, bro! Ayo, kita pastikan kepentingan demokrasi dengan memilih Ganjar Pranowo. #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK https://t.co/uK2NQSclp6;pesta demokrasi indonesia demokrasi bro ayo pastikan kepentingan demokrasi memilih jnk;['pesta', 'demokrasi', 'indonesia', 'demokrasi', 'bro', 'ayo', 'pastikan', 'kepentingan', 'demokrasi', 'memilih', 'jnk'];['pesta', 'demokrasi', 'indonesia', 'demokrasi', 'bro', 'ayo', 'pastikan', 'kepentingan', 'demokrasi', 'memilih', 'jnk'];['pesta', 'demokrasi', 'indonesia', 'demokrasi', 'bro', 'ayo', 'pasti', 'penting', 'demokrasi', 'pilih', 'jnk'];pesta demokrasi indonesia demokrasi bro ayo pasti penting demokrasi pilih jnk;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik
TXT0319;Di Mata Rocky Gerung Prabowo-Gibran Beberapa Kali Lakukan Pelanggaran: Bawaslu Tidur? https://t.co/8jjAw67S75 [RE OposisiCerdas];mata rocky gerung kali lakukan pelanggaran bawaslu tidur;['mata', 'rocky', 'gerung', 'kali', 'lakukan', 'pelanggaran', 'bawaslu', 'tidur'];['mata', 'rocky', 'gerung', 'kali', 'lakukan', 'pelanggaran', 'bawaslu', 'tidur'];['mata', 'rocky', 'gerung', 'kali', 'laku', 'langgar', 'bawaslu', 'tidur'];mata rocky gerung kali laku langgar bawaslu tidur;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik
TXT0320;"Yang satu bisa jadi Cawapres hasil melanggar ETIKA
Yang satu keluar koalisi karena ga jadi dicalonkan sebagai CAWAPRES

Keduanya sahut2an bicara soal AMBISI Anies [RE dapitnih]";cawapres hasil melanggar etikayang koalisi ga dicalonkan cawapreskeduanya bicara ambisi anies;['cawapres', 'hasil', 'melanggar', 'etikayang', 'koalisi', 'ga', 'dicalonkan', 'cawapreskeduanya', 'bicara', 'ambisi', 'anies'];['cawapres', 'hasil', 'melanggar', 'etikayang', 'koalisi', 'enggak', 'dicalonkan', 'cawapreskeduanya', 'bicara', 'ambisi', 'anies'];['cawapres', 'hasil', 'langgar', 'etikayang', 'koalisi', 'enggak', 'calon', 'cawapreskeduanya', 'bicara', 'ambisi', 'anies'];cawapres hasil langgar etikayang koalisi enggak calon cawapreskeduanya bicara ambisi anies;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik
TXT0321;"Pak anies tidak menyerang pribadi pak prabowo, melainkan menyerang kinerja pak prabowo selama jadi menhan

dan ini kesalahan prabowo sendiri kenapa panas ketika kinerjanya dikritik

pak prabowo tidak siap berdemokrasi, tidak siap adanya oposisi yg menyerang kebijakan dia [RE partaimedsos45]";anies menyerang pribadi menyerang kinerja menhandan panas kinerjanya dikritikpak berdemokrasi oposisi menyerang kebijakan;['anies', 'menyerang', 'pribadi', 'menyerang', 'kinerja', 'menhandan', 'panas', 'kinerjanya', 'dikritikpak', 'berdemokrasi', 'oposisi', 'menyerang', 'kebijakan'];['anies', 'menyerang', 'pribadi', 'menyerang', 'kinerja', 'menhandan', 'panas', 'kinerjanya', 'dikritikpak', 'berdemokrasi', 'oposisi', 'menyerang', 'kebijakan'];['anies', 'serang', 'pribadi', 'serang', 'kerja', 'menhandan', 'panas', 'kerja', 'dikritikpak', 'demokrasi', 'oposisi', 'serang', 'bijak'];anies serang pribadi serang kerja menhandan panas kerja dikritikpak demokrasi oposisi serang bijak;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik
TXT0322;Penyebab Tragis Pengusiran Prabowo Subianto Dari Keluarga Cendana, Dituding Lakukan Hal Ini Oleh Anak Soeharto https://t.co/UO86ZP37Ii [RE OposisiCerdas];penyebab tragis pengusiran subianto keluarga cendana dituding lakukan anak soeharto;['penyebab', 'tragis', 'pengusiran', 'subianto', 'keluarga', 'cendana', 'dituding', 'lakukan', 'anak', 'soeharto'];['penyebab', 'tragis', 'pengusiran', 'subianto', 'keluarga', 'cendana', 'dituding', 'lakukan', 'anak', 'soeharto'];['sebab', 'tragis', 'usir', 'subianto', 'keluarga', 'cendana', 'tuding', 'laku', 'anak', 'soeharto'];sebab tragis usir subianto keluarga cendana tuding laku anak soeharto;Sosial Budaya;Politik;Sosial Budaya;Sosial Budaya;Politik;Sosial Budaya;Politik;Sosial Budaya;Politik;Politik;Politik;Sosial Budaya
TXT0323;Benarkah Anies-Muhaimin Pemimpin yang Tak Diharapkan Penguasa? https://t.co/65K9x1Q3iI [RE OposisiCerdas];pemimpin diharapkan penguasa;['pemimpin', 'diharapkan', 'penguasa'];['pemimpin', 'diharapkan', 'penguasa'];['pimpin', 'harap', 'kuasa'];pimpin harap kuasa;Sosial Budaya;Politik;Sosial Budaya;Sosial Budaya;Politik;Sosial Budaya;Politik;Sosial Budaya;Politik;Politik;Politik;Sosial Budaya
TXT0324;PSI dikenal sbg partai yg konsisten serang Anies scr barbar, khususnya saat menjabat Gubernur DKI. Setelah hanya dlm hitungan hari, Kaesang berhasil jadi Ketum PSI, lalu baliho PSI Partai Jokowi ditebar dimana2, sepertinya jd jelas siapa dalang dibalik serangan terhadap Anies Ã°ÂŸÂ˜Â´ https://t.co/06KPqyoSZj [RE hipohan];psi dikenal sbg partai konsisten serang anies scr barbar menjabat gubernur dki dlm hitungan kaesang berhasil ketum psi baliho psi partai ditebar jd dalang dibalik serangan anies;['psi', 'dikenal', 'sbg', 'partai', 'konsisten', 'serang', 'anies', 'scr', 'barbar', 'menjabat', 'gubernur', 'dki', 'dlm', 'hitungan', 'kaesang', 'berhasil', 'ketum', 'psi', 'baliho', 'psi', 'partai', 'ditebar', 'jd', 'dalang', 'dibalik', 'serangan', 'anies'];['psi', 'dikenal', 'sebagai', 'partai', 'konsisten', 'serang', 'anies', 'secara', 'barbar', 'menjabat', 'gubernur', 'dki', 'dalam', 'hitungan', 'kaesang', 'berhasil', 'ketum', 'psi', 'baliho', 'psi', 'partai', 'ditebar', 'jadi', 'dalang', 'dibalik', 'serangan', 'anies'];['psi', 'kenal', 'bagai', 'partai', 'konsisten', 'serang', 'anies', 'cara', 'barbar', 'jabat', 'gubernur', 'dki', 'dalam', 'hitung', 'kaesang', 'hasil', 'tum', 'psi', 'baliho', 'psi', 'partai', 'tebar', 'jadi', 'dalang', 'balik', 'serang', 'anies'];psi kenal bagai partai konsisten serang anies cara barbar jabat gubernur dki dalam hitung kaesang hasil tum psi baliho psi partai tebar jadi dalang balik serang anies;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik
TXT0325;"@mawakresna Tiap orang punya experience sendiri2. Tiap orang punya pendapat sendiri2. Negeri ini negeri demokrasi. Sy lebih suka kepemimpinan Pak Ganjar ketika menjabat Jateng-1; sy tidak pernah merasa terancam ketika berada di jalanan di Jateng.
Terimakasih, Om @mawakresna https://t.co/VmA8ULBBCJ";mawakresna orang experience orang pendapat negeri negeri demokrasi sy suka kepemimpinan menjabat sy terancam jalanan jatengterimakasih om mawakresna;['mawakresna', 'orang', 'experience', 'orang', 'pendapat', 'negeri', 'negeri', 'demokrasi', 'sy', 'suka', 'kepemimpinan', 'menjabat', 'sy', 'terancam', 'jalanan', 'jatengterimakasih', 'om', 'mawakresna'];['mawakresna', 'orang', 'experience', 'orang', 'pendapat', 'negeri', 'negeri', 'demokrasi', 'saya', 'suka', 'kepemimpinan', 'menjabat', 'saya', 'terancam', 'jalanan', 'jatengterimakasih', 'om', 'mawakresna'];['mawakresna', 'orang', 'experience', 'orang', 'dapat', 'negeri', 'negeri', 'demokrasi', 'saya', 'suka', 'pimpin', 'jabat', 'saya', 'ancam', 'jalan', 'jatengterimakasih', 'om', 'mawakresna'];mawakresna orang experience orang dapat negeri negeri demokrasi saya suka pimpin jabat saya ancam jalan jatengterimakasih om mawakresna;Ideologi;Politik;Sosial Budaya;Ideologi;Sosial Budaya;Ideologi;Ideologi;Sosial Budaya;Sosial Budaya;Sosial Budaya;Politik;Sosial Budaya
TXT0326;Tegas Ketum PBNU Sebut Khofifah harus Nonaktif dari Jabatan Muslimat NU Jika Gabung Kubu Prabowo https://t.co/C502ve6KfD [RE OposisiCerdas];ketum pbnu khofifah nonaktif jabatan muslimat nu gabung kubu;['ketum', 'pbnu', 'khofifah', 'nonaktif', 'jabatan', 'muslimat', 'nu', 'gabung', 'kubu'];['ketum', 'pbnu', 'khofifah', 'nonaktif', 'jabatan', 'muslimat', 'nu', 'gabung', 'kubu'];['tum', 'pbnu', 'khofifah', 'nonaktif', 'jabat', 'muslimat', 'nu', 'gabung', 'kubu'];tum pbnu khofifah nonaktif jabat muslimat nu gabung kubu;Sosial Budaya;Politik;Sosial Budaya;Sosial Budaya;Politik;Sosial Budaya;Politik;Sosial Budaya;Politik;Politik;Politik;Sosial Budaya
TXT0327;"Masyarakat mendukung Ganjar-Mahfud sebagai Calon Presiden dan Calon Wakil Presiden 2024, yakin akan terwujudnya polisi yang bersih dan bebas dari korupsi @putchez 
#GanjarMahfudM3nangDebat
#GanjarMahfud2024
#Coblos3 https://t.co/oVYHI2HYZh";masyarakat mendukung calon presiden calon wakil presiden terwujudnya polisi bersih bebas korupsi putchez;['masyarakat', 'mendukung', 'calon', 'presiden', 'calon', 'wakil', 'presiden', 'terwujudnya', 'polisi', 'bersih', 'bebas', 'korupsi', 'putchez'];['masyarakat', 'mendukung', 'calon', 'presiden', 'calon', 'wakil', 'presiden', 'terwujudnya', 'polisi', 'bersih', 'bebas', 'korupsi', 'putchez'];['masyarakat', 'dukung', 'calon', 'presiden', 'calon', 'wakil', 'presiden', 'wujud', 'polisi', 'bersih', 'bebas', 'korupsi', 'putchez'];masyarakat dukung calon presiden calon wakil presiden wujud polisi bersih bebas korupsi putchez;Sosial Budaya;Politik;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Politik;Sosial Budaya
TXT0328;"- Prabowo serang Anies soal anggaran DKI dan polusi udara, yg disalahkan Anies. Dijuluki Wan Angin olh buzzers Prabowo.
- Gibran serang Cak Imin dg singkatan, yg dirujak Cak Imin.
- Anies dan Ganjar serang program Prabowo, yg salah tetep Anies.

Pak Anies, Pak Anies... sorry ye [RE NephilaXmus]";serang anies anggaran dki polusi udara anies dijuluki wan angin olh buzzers serang cak imin dg singkatan dirujak cak imin anies serang program tetep aniespak anies anies sorry ye;['serang', 'anies', 'anggaran', 'dki', 'polusi', 'udara', 'anies', 'dijuluki', 'wan', 'angin', 'olh', 'buzzers', 'serang', 'cak', 'imin', 'dg', 'singkatan', 'dirujak', 'cak', 'imin', 'anies', 'serang', 'program', 'tetep', 'aniespak', 'anies', 'anies', 'sorry', 'ye'];['serang', 'anies', 'anggaran', 'dki', 'polusi', 'udara', 'anies', 'dijuluki', 'wan', 'angin', 'olh', 'buzzers', 'serang', 'cak', 'imin', 'dengan', 'singkatan', 'dirujak', 'cak', 'imin', 'anies', 'serang', 'program', 'tetap', 'aniespak', 'anies', 'anies', 'sorry', 'ye'];['serang', 'anies', 'anggar', 'dki', 'polusi', 'udara', 'anies', 'juluk', 'wan', 'angin', 'olh', 'buzzers', 'serang', 'cak', 'imin', 'dengan', 'singkat', 'rujak', 'cak', 'imin', 'anies', 'serang', 'program', 'tetap', 'aniespak', 'anies', 'anies', 'sorry', 'ye'];serang anies anggar dki polusi udara anies juluk wan angin olh buzzers serang cak imin dengan singkat rujak cak imin anies serang program tetap aniespak anies anies sorry ye;Sosial Budaya;Geografi;Sosial Budaya;Sosial Budaya;Politik;Sosial Budaya;Politik;Sumber Daya Alam;Sumber Daya Alam;Sumber Daya Alam;Politik;Sumber Daya Alam
TXT0329;"Ganjar optimis capai pertumbuhan ekonomi 7% SahabatGanjarÃ‚Â  Ã‚Â  Ganjar MenangkanGanjar GenerasiGotongRoyongÃ‚Â 

 Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 Lulus Pasti Kerja https://t.co/u9oCoBjUNg";optimis capai pertumbuhan ekonomi generasigotongroyong hebat lulus kerja;['optimis', 'capai', 'pertumbuhan', 'ekonomi', 'generasigotongroyong', 'hebat', 'lulus', 'kerja'];['optimis', 'capai', 'pertumbuhan', 'ekonomi', 'generasigotongroyong', 'hebat', 'lulus', 'kerja'];['optimis', 'capai', 'tumbuh', 'ekonomi', 'generasigotongroyong', 'hebat', 'lulus', 'kerja'];optimis capai tumbuh ekonomi generasigotongroyong hebat lulus kerja;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Politik;Ekonomi
TXT0330;"Ardiningrum22: Debat Capres Pertama, Ganjar Tegaskan Jaga Demokrasi dan Sikat Korupsi Bengis 

 Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 Lulus Pasti Kerja https://t.co/1mn24se1sK";debat tegaskan jaga demokrasi sikat korupsi bengis hebat lulus kerja;['debat', 'tegaskan', 'jaga', 'demokrasi', 'sikat', 'korupsi', 'bengis', 'hebat', 'lulus', 'kerja'];['debat', 'tegaskan', 'jaga', 'demokrasi', 'sikat', 'korupsi', 'bengis', 'hebat', 'lulus', 'kerja'];['debat', 'tegas', 'jaga', 'demokrasi', 'sikat', 'korupsi', 'bengis', 'hebat', 'lulus', 'kerja'];debat tegas jaga demokrasi sikat korupsi bengis hebat lulus kerja;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik
TXT0331;"Keliru, Klaim Anies Terkait Anggaran Kementerian Pertahanan Rp 700 Triliun untuk Beli Alutsista Bekas
https://t.co/w5InKFfRqE [RE Ndons_Back]";keliru klaim anies terkait anggaran kementerian pertahanan rp triliun beli alutsista bekas;['keliru', 'klaim', 'anies', 'terkait', 'anggaran', 'kementerian', 'pertahanan', 'rp', 'triliun', 'beli', 'alutsista', 'bekas'];['keliru', 'klaim', 'anies', 'terkait', 'anggaran', 'kementerian', 'pertahanan', 'rp', 'triliun', 'beli', 'alutsista', 'bekas'];['keliru', 'klaim', 'anies', 'kait', 'anggar', 'menteri', 'tahan', 'rp', 'triliun', 'beli', 'alutsista', 'bekas'];keliru klaim anies kait anggar menteri tahan rp triliun beli alutsista bekas;Ekonomi;Pertahanan dan Keamanan;Ekonomi;Ekonomi;Pertahanan dan Keamanan;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Politik;Ekonomi
TXT0332;"Ganjar-Mahfud akan menjadi pemimpin yang mampu mengubah kota-kota kita menjadi pusat pertumbuhan ekonomi yang kuat. @alfant507 Happy New Year 
#GanjarMahfud2024
#GanjarMahfudM3nang
#L3bihbaik https://t.co/sxeb43PnSL";pemimpin mengubah kotakota pusat pertumbuhan ekonomi kuat happy new year;['pemimpin', 'mengubah', 'kotakota', 'pusat', 'pertumbuhan', 'ekonomi', 'kuat', 'happy', 'new', 'year'];['pemimpin', 'mengubah', 'kotakota', 'pusat', 'pertumbuhan', 'ekonomi', 'kuat', 'happy', 'new', 'year'];['pimpin', 'ubah', 'kotakota', 'pusat', 'tumbuh', 'ekonomi', 'kuat', 'happy', 'new', 'year'];pimpin ubah kotakota pusat tumbuh ekonomi kuat happy new year;Ekonomi;Geografi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Politik;Ekonomi
TXT0333;"Kepemimpinan Ganjar-Mahfud adalah jaminan untuk pemerintahan yang bersih dan transparan. @kamilborkan Happy New Year 
#GanjarMahfud2024
#3MandatGanjarMahfud
#L3bihbaik https://t.co/3mAtSQgRYU";kepemimpinan jaminan pemerintahan bersih transparan kamilborkan happy new year;['kepemimpinan', 'jaminan', 'pemerintahan', 'bersih', 'transparan', 'kamilborkan', 'happy', 'new', 'year'];['kepemimpinan', 'jaminan', 'pemerintahan', 'bersih', 'transparan', 'kamilborkan', 'happy', 'new', 'year'];['pimpin', 'jamin', 'perintah', 'bersih', 'transparan', 'kamilborkan', 'happy', 'new', 'year'];pimpin jamin perintah bersih transparan kamilborkan happy new year;Sosial Budaya;Politik;Sosial Budaya;Sosial Budaya;Politik;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Politik;Sosial Budaya
TXT0334;"Mas @ganjarpranowo tidak pernah mengklaim bahwa dirinya ;

""LEBIH TNI DARI BANYAK TNI""
.
.
Namun, ternyata Mas Ganjar jauh lebih memiliki pemahaman yang komprehensif, integratif, terukur dan terpadu tentang pertahanan negara, alutsista, kesejahteraan prajurit TNI/ Polri dan geopolitik, dibandingkan Menhan yang hobi ""nyapres"".

Ã°ÂŸÂ˜ÂÃ°ÂŸÂ˜ÂÃ°ÂŸÂ˜Â
#GanjarMahfud2024 [RE __AnakKolong]";mas mengklaim tni tninamun mas memiliki pemahaman komprehensif integratif terukur terpadu pertahanan negara alutsista kesejahteraan prajurit tni polri geopolitik dibandingkan menhan hobi nyapres;['mas', 'mengklaim', 'tni', 'tninamun', 'mas', 'memiliki', 'pemahaman', 'komprehensif', 'integratif', 'terukur', 'terpadu', 'pertahanan', 'negara', 'alutsista', 'kesejahteraan', 'prajurit', 'tni', 'polri', 'geopolitik', 'dibandingkan', 'menhan', 'hobi', 'nyapres'];['mas', 'mengklaim', 'tni', 'tninamun', 'mas', 'memiliki', 'pemahaman', 'komprehensif', 'integratif', 'terukur', 'terpadu', 'pertahanan', 'negara', 'alutsista', 'kesejahteraan', 'prajurit', 'tni', 'polri', 'geopolitik', 'dibandingkan', 'menhan', 'hobi', 'nyapres'];['mas', 'klaim', 'tni', 'tninamun', 'mas', 'milik', 'paham', 'komprehensif', 'integratif', 'ukur', 'padu', 'tahan', 'negara', 'alutsista', 'sejahtera', 'prajurit', 'tni', 'polri', 'geopolitik', 'banding', 'menhan', 'hobi', 'nyapres'];mas klaim tni tninamun mas milik paham komprehensif integratif ukur padu tahan negara alutsista sejahtera prajurit tni polri geopolitik banding menhan hobi nyapres;Pertahanan dan Keamanan;Pertahanan dan Keamanan;Pertahanan dan Keamanan;Pertahanan dan Keamanan;Pertahanan dan Keamanan;Pertahanan dan Keamanan;Pertahanan dan Keamanan;Pertahanan dan Keamanan;Pertahanan dan Keamanan;Pertahanan dan Keamanan;Politik;Pertahanan dan Keamanan
