,Text,new_text2,Tokeniz,baku_text,stemmed_text
106,rakyat melihat wajah uzur jendral yang lelah dan tekanan berat krn harus gendong bocil anak haram mk yg setiap debat jadi serangan yg tajam lawanya terutama anies menyoroti sikap etika prabowo terima bocil anak haramnya mk bastardoaniesikongenzmilenial aniesikongenzmilenial ,wajah uzur jendral lelah tekanan berat krn gendong bocil haram mk debat serangan tajam lawanya menyoroti sikap etika bocil haramnya mk bastardoaniesikongenzmilenial,"['wajah', 'uzur', 'jendral', 'lelah', 'tekanan', 'berat', 'krn', 'gendong', 'bocil', 'haram', 'mk', 'debat', 'serangan', 'tajam', 'lawanya', 'menyoroti', 'sikap', 'etika', 'bocil', 'haramnya', 'mk', 'bastardoaniesikongenzmilenial']","['wajah', 'uzur', 'jenderal', 'lelah', 'tekanan', 'berat', 'karena', 'gendong', 'bocil', 'haram', 'maka', 'debat', 'serangan', 'tajam', 'lawanya', 'menyoroti', 'sikap', 'etika', 'bocil', 'haramnya', 'maka', 'bastardoaniesikongenzmilenial']","['wajah', 'uzur', 'jenderal', 'lelah', 'tekan', 'berat', 'karena', 'gendong', 'bocil', 'haram', 'maka', 'debat', 'serang', 'tajam', 'lawa', 'sorot', 'sikap', 'etika', 'bocil', 'haram', 'maka', 'bastardoaniesikongenzmilenial']"
107,salam kopi joni untuk prabowogibran dong guysprabowo gibran prabowogibran mendingprabowo terusmajubersamaprabowo  bersamaindonesiamaju debatcapres  pertahananri istorasenayan kpu kpuri debatketiga  jokowi  ,salam kopi joni guysprabowo pertahananri istorasenayan kpu kpuri debatketiga,"['salam', 'kopi', 'joni', 'guysprabowo', 'pertahananri', 'istorasenayan', 'kpu', 'kpuri', 'debatketiga']","['salam', 'kopi', 'joni', 'guysprabowo', 'pertahananri', 'istorasenayan', 'kpu', 'kpuri', 'debatketiga']","['salam', 'kopi', 'joni', 'guysprabowo', 'pertahananri', 'istorasenayan', 'kpu', 'kpuri', 'debatketiga']"
108,ganjar pranowo dan mahfud md menghadirkan solusi nyata untuk meningkatkan kesejahteraan petani nelayan dan peternak melalui kebijakan perdagangan yang mendukung produk dalam negeri diniinihh happy new year  ,menghadirkan solusi nyata meningkatkan kesejahteraan petani nelayan peternak kebijakan perdagangan mendukung produk negeri diniinihh happy new year,"['menghadirkan', 'solusi', 'nyata', 'meningkatkan', 'kesejahteraan', 'petani', 'nelayan', 'peternak', 'kebijakan', 'perdagangan', 'mendukung', 'produk', 'negeri', 'diniinihh', 'happy', 'new', 'year']","['menghadirkan', 'solusi', 'nyata', 'meningkatkan', 'kesejahteraan', 'petani', 'nelayan', 'peternak', 'kebijakan', 'perdagangan', 'mendukung', 'produk', 'negeri', 'diniinihh', 'happy', 'new', 'year']","['hadir', 'solusi', 'nyata', 'tingkat', 'sejahtera', 'tani', 'nelayan', 'ternak', 'bijak', 'dagang', 'dukung', 'produk', 'negeri', 'diniinihh', 'happy', 'new', 'year']"
109,sebaiknya prabowo mundurlah tak ada prestasi sehingga terus  prestasi jokowi yang sebrbernya tidak adaprabowo gagal dari  jendral pecatan food estate  gagal kemenhan yg amburadul bahkan diduga ada korupsi jumbo utk biaya   ,mundurlah prestasi prestasi sebrbernya adaprabowo gagal jendral pecatan gagal kemenhan amburadul diduga korupsi jumbo biaya,"['mundurlah', 'prestasi', 'prestasi', 'sebrbernya', 'adaprabowo', 'gagal', 'jendral', 'pecatan', 'gagal', 'kemenhan', 'amburadul', 'diduga', 'korupsi', 'jumbo', 'biaya']","['mundurlah', 'prestasi', 'prestasi', 'sebrbernya', 'adaprabowo', 'gagal', 'jenderal', 'pecatan', 'gagal', 'kemenhan', 'amburadul', 'diduga', 'korupsi', 'jumbo', 'biaya']","['mundur', 'prestasi', 'prestasi', 'sebrbernya', 'adaprabowo', 'gagal', 'jenderal', 'pecat', 'gagal', 'kemenhan', 'amburadul', 'duga', 'korupsi', 'jumbo', 'biaya']"
110,anies presiden untuk tnipolri serta asn  penyediaan rumah  kenaikan gaji setiap  kesejahteraan lainnya  ,tnipolri asn penyediaan kenaikan gaji kesejahteraan,"['tnipolri', 'asn', 'penyediaan', 'kenaikan', 'gaji', 'kesejahteraan']","['tnipolri', 'asn', 'penyediaan', 'kenaikan', 'gaji', 'kesejahteraan']","['tnipolri', 'asn', 'sedia', 'naik', 'gaji', 'sejahtera']"
111,ini tweet gk nyuruh kalian vote anies cuma demand untuk jangan diskreditkan gagasan dia aja seakanakan hes got nothing to offer jangan biarin kebencian asumtif muncul lagi kalau masih ragu gausah pilih partai islam pas pemilihan legislatif demokrasi masih ada,tweet nyuruh vote demand diskreditkan gagasan aja seakanakan hes got nothing to offer biarin kebencian asumtif muncul ragu gausah partai islam pas pemilihan legislatif demokrasi,"['tweet', 'nyuruh', 'vote', 'demand', 'diskreditkan', 'gagasan', 'aja', 'seakanakan', 'hes', 'got', 'nothing', 'to', 'offer', 'biarin', 'kebencian', 'asumtif', 'muncul', 'ragu', 'gausah', 'partai', 'islam', 'pas', 'pemilihan', 'legislatif', 'demokrasi']","['tweet', 'nyuruh', 'vote', 'demand', 'diskreditkan', 'gagasan', 'saja', 'seakanakan', 'hes', 'got', 'nothing', 'tapi', 'offer', 'biarkan', 'kebencian', 'asumtif', 'muncul', 'ragu', 'enggak usah', 'partai', 'islam', 'pas', 'pemilihan', 'legislatif', 'demokrasi']","['tweet', 'nyuruh', 'vote', 'demand', 'diskredit', 'gagas', 'saja', 'seakanakan', 'hes', 'got', 'nothing', 'tapi', 'offer', 'biar', 'benci', 'asumtif', 'muncul', 'ragu', 'enggak usah', 'partai', 'islam', 'pas', 'pilih', 'legislatif', 'demokrasi']"
112,noenoeneon txtdrpemerintah kan pak anies gencar jgn takut buat mengemukakan pendapat beliau sendiri selalu ngasih contoh sebenernya ,noenoeneon txtdrpemerintah gencar jgn takut mengemukakan pendapat ngasih contoh sebenernya,"['noenoeneon', 'txtdrpemerintah', 'gencar', 'jgn', 'takut', 'mengemukakan', 'pendapat', 'ngasih', 'contoh', 'sebenernya']","['noenoeneon', 'txtdrpemerintah', 'gencar', 'jangan', 'takut', 'mengemukakan', 'pendapat', 'mengasih', 'contoh', 'sebenarnya']","['noenoeneon', 'txtdrpemerintah', 'gencar', 'jangan', 'takut', 'muka', 'dapat', 'asih', 'contoh', 'benar']"
113,  ganjar mahfud hebat   dulujokowisekarangganjar   akan memberantas kkn dan pungli demi kesejahteraan kaum buruh di indonesia  majalengka majalengka  bersih kuatkankpk mahfud md,memberantas kkn pungli kesejahteraan kaum buruh majalengka majalengka bersih kuatkankpk,"['memberantas', 'kkn', 'pungli', 'kesejahteraan', 'kaum', 'buruh', 'majalengka', 'majalengka', 'bersih', 'kuatkankpk']","['memberantas', 'kkn', 'pungli', 'kesejahteraan', 'kaum', 'buruh', 'majalengka', 'majalengka', 'bersih', 'kuatkankpk']","['berantas', 'kkn', 'pungli', 'sejahtera', 'kaum', 'buruh', 'majalengka', 'majalengka', 'bersih', 'kuatkankpk']"
114,saya sangat bangga bila seorang pemimpin bisa bersatu dengan semua partai koalisinya dan itu dilakukan oleh pak ganjar pranowo benarbenar sangat mengagumkan,bangga pemimpin bersatu partai koalisinya benarbenar mengagumkan,"['bangga', 'pemimpin', 'bersatu', 'partai', 'koalisinya', 'benarbenar', 'mengagumkan']","['bangga', 'pemimpin', 'bersatu', 'partai', 'koalisinya', 'benarbenar', 'mengagumkan']","['bangga', 'pimpin', 'satu', 'partai', 'koalisi', 'benarbenar', 'kagum']"
115,cuitcuap masbowogbran pastinya paling ngerti gimana mebangun investasi patriotisme yg jadiin harapan masyarakat untuk memajukan indonesia  baikpakbowoprabowo ,cuitcuap pastinya ngerti gimana mebangun investasi patriotisme jadiin harapan memajukan baikpakbowoprabowo,"['cuitcuap', 'pastinya', 'ngerti', 'gimana', 'mebangun', 'investasi', 'patriotisme', 'jadiin', 'harapan', 'memajukan', 'baikpakbowoprabowo']","['cuitcuap', 'pastinya', 'mengerti', 'bagaimana', 'mebangun', 'investasi', 'patriotisme', 'jadikan', 'harapan', 'memajukan', 'baikpakbowoprabowo']","['cuitcuap', 'pasti', 'erti', 'bagaimana', 'mebangun', 'investasi', 'patriotisme', 'jadi', 'harap', 'maju', 'baikpakbowoprabowo']"
116,sampai kapan kubu prabowo bodohi rakyatoleh  tiand raharjosangat menggelitik sebenarnya melihat kubu prabowogibran dengan masif mengampanyekan pilpres satu putaran dengan alasan menghemat uang negara ini tentu pembodohan sekaligus pengkerdilan yang luar biasa terhadap hakhak rakyat kemungkinan prabowo kalah di putaran dua memang sangat besar dan narasi itu mudah kita tebak hanya untuk menutupi kepanikan yang makin mendera kubu merekabayangkan saja segala infrastruktur negara sudah dipakai dari mulai aparat hingga penjabat kepala daerah juga sudah dilibatkan untuk memenangkan prabowogibran tapi hasil surveinya masih saja mentok tak kunjung mencapai  persen itu adalah fakta yang sulit dibantah kita tahu beberapa hari lalu sempat viral foto pj gubernur jateng nana menjemput prabowo dan tim kampanyenya di bandara ahmadyani saat perayaan hut psi kapasitas prabowo saat itu jelas bukan sebagai menteri melainkan capres apakah anda percaya nana bakal diam saja dan tidak berusaha menambal suara untuk prabowo dengan posisinya saat ininamun ternyata masyarakat tak mudah ditekan dan itulah yang terjadi di lapangan masyarakat tetap berpegang teguh dengan pendirian untuk menentukan siapa sosok yang layak memimpin negeri ini dan prabowo rupanya jauh dari figur yang diharapkan barangkali bukan hanya jejak masa lalunya yang hitam namun juga karena kinerjakinerjanya yang justru kerap menyodorkan kegagalan contoh konkret adalah mangkraknya food estate yang menghabiskan duit negara triliunan rakyat adalah pembaca peristiwa yang baik jika melihat pelanggaran pada pilpres kali ini yang paling banyak memang kubu prabowo bukan hanya pelanggaran sebetulnya namun juga arogansi dan kesewenangwenangan yang mereka perlihatkan dengan beringas dari mulai mempermainkan hukum lewat mahkamah konstitusi perusakan baliho kubu rival hingga tindakantindakan  intimidatif pada putaran kedua sudah pasti seluruh akal sehat dan nalar publik akan bersatu membakar semangat untuk mencegah kesewenangwenangan itu berkuasa inilah yang bikin kubu prabowo ketakutan bukan main dan mulai menyenandungkan halhal konyol kita percaya daulat akan selamanya berada di tangan rakyat tak ada yang bisa membendung tekad yang sudah membara menyalanyala belum lagi jika kita bicara soal logistik kubu prabowo mungkin saja keteteran di putaran kedua karena kampanye saat ini yang sudah begitu masif baliho bertebaran dimanamana iklan media sosial yang nilai biayanya sangat fantastis belum lagi biaya publik figur yang mereka gunakan sebagai buzzer dan hasilnya justru bikin mereka uringuringan geram bukan kepalangpara pelaku survei kredibel beberapa kali bahkan menyebutkan tidak ditemukan adanya data bahwa pilpres akan terjadi satu putaran jika melihat hasil survei saat ini peluang besar putaran kedua prabowo akan berhadaphadapan dengan ganjar pranowo ,bodohi rakyatoleh tiand raharjosangat menggelitik masif mengampanyekan pilpres putaran alasan menghemat uang pembodohan pengkerdilan hakhak kalah putaran narasi mudah tebak menutupi kepanikan mendera merekabayangkan infrastruktur dipakai aparat penjabat kepala daerah dilibatkan memenangkan hasil surveinya mentok kunjung mencapai persen fakta dibantah viral foto pj jateng nana menjemput tim kampanyenya bandara ahmadyani perayaan hut psi kapasitas menteri percaya nana diam berusaha menambal suara posisinya ininamun mudah ditekan lapangan berpegang teguh pendirian menentukan sosok layak memimpin negeri figur diharapkan barangkali lalunya hitam kinerjakinerjanya kerap menyodorkan kegagalan contoh konkret mangkraknya menghabiskan duit triliunan pembaca peristiwa pelanggaran pilpres kali pelanggaran arogansi kesewenangwenangan perlihatkan beringas mempermainkan hukum mahkamah konstitusi perusakan baliho rival tindakantindakan intimidatif putaran akal sehat nalar publik bersatu membakar semangat mencegah kesewenangwenangan berkuasa bikin ketakutan main menyenandungkan halhal konyol percaya daulat tangan membendung tekad membara menyalanyala bicara logistik keteteran putaran kampanye masif baliho bertebaran dimanamana iklan media sosial nilai biayanya fantastis biaya publik figur buzzer hasilnya bikin uringuringan geram kepalangpara pelaku survei kredibel kali ditemukan data pilpres putaran hasil survei peluang putaran berhadaphadapan,"['bodohi', 'rakyatoleh', 'tiand', 'raharjosangat', 'menggelitik', 'masif', 'mengampanyekan', 'pilpres', 'putaran', 'alasan', 'menghemat', 'uang', 'pembodohan', 'pengkerdilan', 'hakhak', 'kalah', 'putaran', 'narasi', 'mudah', 'tebak', 'menutupi', 'kepanikan', 'mendera', 'merekabayangkan', 'infrastruktur', 'dipakai', 'aparat', 'penjabat', 'kepala', 'daerah', 'dilibatkan', 'memenangkan', 'hasil', 'surveinya', 'mentok', 'kunjung', 'mencapai', 'persen', 'fakta', 'dibantah', 'viral', 'foto', 'pj', 'jateng', 'nana', 'menjemput', 'tim', 'kampanyenya', 'bandara', 'ahmadyani', 'perayaan', 'hut', 'psi', 'kapasitas', 'menteri', 'percaya', 'nana', 'diam', 'berusaha', 'menambal', 'suara', 'posisinya', 'ininamun', 'mudah', 'ditekan', 'lapangan', 'berpegang', 'teguh', 'pendirian', 'menentukan', 'sosok', 'layak', 'memimpin', 'negeri', 'figur', 'diharapkan', 'barangkali', 'lalunya', 'hitam', 'kinerjakinerjanya', 'kerap', 'menyodorkan', 'kegagalan', 'contoh', 'konkret', 'mangkraknya', 'menghabiskan', 'duit', 'triliunan', 'pembaca', 'peristiwa', 'pelanggaran', 'pilpres', 'kali', 'pelanggaran', 'arogansi', 'kesewenangwenangan', 'perlihatkan', 'beringas', 'mempermainkan', 'hukum', 'mahkamah', 'konstitusi', 'perusakan', 'baliho', 'rival', 'tindakantindakan', 'intimidatif', 'putaran', 'akal', 'sehat', 'nalar', 'publik', 'bersatu', 'membakar', 'semangat', 'mencegah', 'kesewenangwenangan', 'berkuasa', 'bikin', 'ketakutan', 'main', 'menyenandungkan', 'halhal', 'konyol', 'percaya', 'daulat', 'tangan', 'membendung', 'tekad', 'membara', 'menyalanyala', 'bicara', 'logistik', 'keteteran', 'putaran', 'kampanye', 'masif', 'baliho', 'bertebaran', 'dimanamana', 'iklan', 'media', 'sosial', 'nilai', 'biayanya', 'fantastis', 'biaya', 'publik', 'figur', 'buzzer', 'hasilnya', 'bikin', 'uringuringan', 'geram', 'kepalangpara', 'pelaku', 'survei', 'kredibel', 'kali', 'ditemukan', 'data', 'pilpres', 'putaran', 'hasil', 'survei', 'peluang', 'putaran', 'berhadaphadapan']","['bodohi', 'rakyatoleh', 'tiand', 'raharjosangat', 'menggelitik', 'masif', 'mengampanyekan', 'pilpres', 'putaran', 'alasan', 'menghemat', 'uang', 'pembodohan', 'pengkerdilan', 'hakhak', 'kalah', 'putaran', 'narasi', 'mudah', 'tebak', 'menutupi', 'kepanikan', 'mendera', 'merekabayangkan', 'infrastruktur', 'dipakai', 'aparat', 'penjabat', 'kepala', 'daerah', 'dilibatkan', 'memenangkan', 'hasil', 'surveinya', 'mentok', 'kunjung', 'mencapai', 'persen', 'fakta', 'dibantah', 'viral', 'foto', 'pj', 'jateng', 'nana', 'menjemput', 'tim', 'kampanyenya', 'bandara', 'ahmadyani', 'perayaan', 'hut', 'psi', 'kapasitas', 'menteri', 'percaya', 'nana', 'diam', 'berusaha', 'menambal', 'suara', 'posisinya', 'ininamun', 'mudah', 'ditekan', 'lapangan', 'berpegang', 'teguh', 'pendirian', 'menentukan', 'sosok', 'layak', 'memimpin', 'negeri', 'figur', 'diharapkan', 'barangkali', 'lalunya', 'hitam', 'kinerjakinerjanya', 'kerap', 'menyodorkan', 'kegagalan', 'contoh', 'konkret', 'mangkraknya', 'menghabiskan', 'duit', 'triliunan', 'pembaca', 'peristiwa', 'pelanggaran', 'pilpres', 'kali', 'pelanggaran', 'arogansi', 'kesewenangwenangan', 'perlihatkan', 'beringas', 'mempermainkan', 'hukum', 'mahkamah', 'konstitusi', 'perusakan', 'baliho', 'rival', 'tindakantindakan', 'intimidatif', 'putaran', 'akal', 'sehat', 'nalar', 'publik', 'bersatu', 'membakar', 'semangat', 'mencegah', 'kesewenangwenangan', 'berkuasa', 'bikin', 'ketakutan', 'main', 'menyenandungkan', 'halhal', 'konyol', 'percaya', 'daulat', 'tangan', 'membendung', 'tekad', 'membara', 'menyalanyala', 'bicara', 'logistik', 'keteteran', 'putaran', 'kampanye', 'masif', 'baliho', 'bertebaran', 'dimanamana', 'iklan', 'media', 'sosial', 'nilai', 'biayanya', 'fantastis', 'biaya', 'publik', 'figur', 'buzzer', 'hasilnya', 'bikin', 'uringuringan', 'geram', 'kepalangpara', 'pelaku', 'survei', 'kredibel', 'kali', 'ditemukan', 'data', 'pilpres', 'putaran', 'hasil', 'survei', 'peluang', 'putaran', 'berhadaphadapan']","['bodoh', 'rakyatoleh', 'tiand', 'raharjosangat', 'gelitik', 'masif', 'kampanye', 'pilpres', 'putar', 'alas', 'hemat', 'uang', 'bodoh', 'kerdil', 'hakhak', 'kalah', 'putar', 'narasi', 'mudah', 'tebak', 'tutup', 'panik', 'dera', 'merekabayangkan', 'infrastruktur', 'pakai', 'aparat', 'jabat', 'kepala', 'daerah', 'libat', 'menang', 'hasil', 'survei', 'mentok', 'kunjung', 'capai', 'persen', 'fakta', 'ban', 'viral', 'foto', 'pj', 'jateng', 'nana', 'jemput', 'tim', 'kampanye', 'bandara', 'ahmadyani', 'raya', 'hut', 'psi', 'kapasitas', 'menteri', 'percaya', 'nana', 'diam', 'usaha', 'tambal', 'suara', 'posisi', 'ininamun', 'mudah', 'tekan', 'lapang', 'pegang', 'teguh', 'diri', 'tentu', 'sosok', 'layak', 'pimpin', 'negeri', 'figur', 'harap', 'barangkali', 'lalu', 'hitam', 'kinerjakinerjanya', 'kerap', 'sodor', 'gagal', 'contoh', 'konkret', 'mangkraknya', 'habis', 'duit', 'triliun', 'baca', 'peristiwa', 'langgar', 'pilpres', 'kali', 'langgar', 'arogansi', 'kesewenangwenangan', 'lihat', 'beringas', 'main', 'hukum', 'mahkamah', 'konstitusi', 'rusa', 'baliho', 'rival', 'tindakantindakan', 'intimidatif', 'putar', 'akal', 'sehat', 'nalar', 'publik', 'satu', 'bakar', 'semangat', 'cegah', 'kesewenangwenangan', 'kuasa', 'bikin', 'takut', 'main', 'senandung', 'halhal', 'konyol', 'percaya', 'daulat', 'tangan', 'bendung', 'tekad', 'bara', 'menyalanyala', 'bicara', 'logistik', 'keteter', 'putar', 'kampanye', 'masif', 'baliho', 'tebar', 'dimanamana', 'iklan', 'media', 'sosial', 'nilai', 'biaya', 'fantastis', 'biaya', 'publik', 'figur', 'buzzer', 'hasil', 'bikin', 'uringuringan', 'geram', 'kepalangpara', 'laku', 'survei', 'kredibel', 'kali', 'temu', 'data', 'pilpres', 'putar', 'hasil', 'survei', 'peluang', 'putar', 'berhadaphadapan']"
117,ejaferdiansyah prabowo food estate  triliunanggaran belanja menhan  triliunbeli pesawat mirrage  triliunpunya tanah  hektar berapa duitnya yagaji recehan utk kaum duafaapa gak mikir ya,ejaferdiansyah triliunanggaran belanja triliunbeli pesawat mirrage triliunpunya tanah hektar duitnya yagaji recehan kaum duafaapa gak mikir,"['ejaferdiansyah', 'triliunanggaran', 'belanja', 'triliunbeli', 'pesawat', 'mirrage', 'triliunpunya', 'tanah', 'hektar', 'duitnya', 'yagaji', 'recehan', 'kaum', 'duafaapa', 'gak', 'mikir']","['ejaferdiansyah', 'triliunanggaran', 'belanja', 'triliunbeli', 'pesawat', 'mirrage', 'triliunpunya', 'tanah', 'hektar', 'duitnya', 'yagaji', 'recehan', 'kaum', 'duafaapa', 'enggak', 'mikir']","['ejaferdiansyah', 'triliunanggaran', 'belanja', 'triliunbeli', 'pesawat', 'mirrage', 'triliunpunya', 'tanah', 'hektar', 'duit', 'yagaji', 'receh', 'kaum', 'duafaapa', 'enggak', 'mikir']"
118,pasangan calon presiden dan wakil presiden nomor urut  ganjar pranowo dan mahfud md menaruh perhatian terhadap kesejahteraan prajurit tni dan polri ganjarmahfudrebound ganjarpranowopilihanumat jnk temanalamganjar atikohibunegara  ,pasangan wakil nomor urut menaruh perhatian kesejahteraan prajurit polri,"['pasangan', 'wakil', 'nomor', 'urut', 'menaruh', 'perhatian', 'kesejahteraan', 'prajurit', 'polri']","['pasangan', 'wakil', 'nomor', 'urut', 'menaruh', 'perhatian', 'kesejahteraan', 'prajurit', 'polri']","['pasang', 'wakil', 'nomor', 'urut', 'taruh', 'perhati', 'sejahtera', 'prajurit', 'polri']"
119,ganjar pranowo membela para tni yang dijumpainya langsung saat kunjungan di daerahdaerah aspirasi merekalah yang akan diwujudkan ganjar ketika menjadi presiden  debatcapres    ,membela dijumpainya langsung kunjungan daerahdaerah aspirasi diwujudkan,"['membela', 'dijumpainya', 'langsung', 'kunjungan', 'daerahdaerah', 'aspirasi', 'diwujudkan']","['membela', 'dijumpainya', 'langsung', 'kunjungan', 'daerahdaerah', 'aspirasi', 'diwujudkan']","['bela', 'jumpa', 'langsung', 'kunjung', 'daerahdaerah', 'aspirasi', 'wujud']"
120,anies baswedan ironis kemenhan pernah dibobol hacker tahun   ,ironis kemenhan dibobol hacker,"['ironis', 'kemenhan', 'dibobol', 'hacker']","['ironis', 'kemenhan', 'dibobol', 'hacker']","['ironis', 'kemenhan', 'bobol', 'hacker']"
121,anies sudah menyebar kebohongan massifstatement anies tersebut kebohongan yang sangat bengis dan jahat sengaja mau menebar hoax hanya untuk sekedar menjatuhkan pak prabowotidak ada anggaran kemhan sebesar  triliun hanya untuk alutsista bekas seperti omonomon alias  bohong anies tersebutanggaran kemhan tahun  saja sekitar  triliunan digunakan untuk kesejahteraan prajurit rumah dinas pendidikan rumah sakit tentara dll  triliunannya di gunakan untuk belanja alutsista nah klo sepanjang  sd  maka anggaran kemhan itu sebesar  triliun dan itu digunakan untuk belanja prajurit rumah kesejahteraan pemeliharaan alutsista dll  untuk alutsista ya sekitar  persen sd  persen   sebesar  triliunan sepanjang  sd  jadi terang anies berbohong dan mengarang hanya demi menjatuhkan pak prabowoklarifikasi kebohongan anies di debat itu tidak ada artinya  karena kebohongan anies itu telah menyebar keseluruh indonesia dan dia lakukan kebohongan itu dengan sengaja dan jahat dan sebagian masyarakat sudah ada yang percaya dengan kebohongan diaprabowo gibran prabowogibran aniesbaswedan debatcapres indonesiamaju bersamaindonesiamaju  mendingprabowo terusmajubersamaprabowo ,menyebar kebohongan massifstatement kebohongan bengis jahat sengaja menebar hoax sekedar menjatuhkan prabowotidak anggaran kemhan triliun alutsista bekas omonomon alias bohong tersebutanggaran kemhan triliunan kesejahteraan prajurit dinas pendidikan sakit tentara dll triliunannya belanja alutsista sd anggaran kemhan triliun belanja prajurit kesejahteraan pemeliharaan alutsista dll alutsista persen sd persen triliunan sd terang berbohong mengarang menjatuhkan prabowoklarifikasi kebohongan debat kebohongan menyebar keseluruh lakukan kebohongan sengaja jahat percaya kebohongan diaprabowo,"['menyebar', 'kebohongan', 'massifstatement', 'kebohongan', 'bengis', 'jahat', 'sengaja', 'menebar', 'hoax', 'sekedar', 'menjatuhkan', 'prabowotidak', 'anggaran', 'kemhan', 'triliun', 'alutsista', 'bekas', 'omonomon', 'alias', 'bohong', 'tersebutanggaran', 'kemhan', 'triliunan', 'kesejahteraan', 'prajurit', 'dinas', 'pendidikan', 'sakit', 'tentara', 'dll', 'triliunannya', 'belanja', 'alutsista', 'sd', 'anggaran', 'kemhan', 'triliun', 'belanja', 'prajurit', 'kesejahteraan', 'pemeliharaan', 'alutsista', 'dll', 'alutsista', 'persen', 'sd', 'persen', 'triliunan', 'sd', 'terang', 'berbohong', 'mengarang', 'menjatuhkan', 'prabowoklarifikasi', 'kebohongan', 'debat', 'kebohongan', 'menyebar', 'keseluruh', 'lakukan', 'kebohongan', 'sengaja', 'jahat', 'percaya', 'kebohongan', 'diaprabowo']","['menyebar', 'kebohongan', 'massifstatement', 'kebohongan', 'bengis', 'jahat', 'sengaja', 'menebar', 'hoax', 'sekedar', 'menjatuhkan', 'prabowotidak', 'anggaran', 'kemhan', 'triliun', 'alutsista', 'bekas', 'omonomon', 'alias', 'bohong', 'tersebutanggaran', 'kemhan', 'triliunan', 'kesejahteraan', 'prajurit', 'dinas', 'pendidikan', 'sakit', 'tentara', 'dll', 'triliunannya', 'belanja', 'alutsista', 'sd', 'anggaran', 'kemhan', 'triliun', 'belanja', 'prajurit', 'kesejahteraan', 'pemeliharaan', 'alutsista', 'dll', 'alutsista', 'persen', 'sd', 'persen', 'triliunan', 'sd', 'terang', 'berbohong', 'mengarang', 'menjatuhkan', 'prabowoklarifikasi', 'kebohongan', 'debat', 'kebohongan', 'menyebar', 'keseluruh', 'lakukan', 'kebohongan', 'sengaja', 'jahat', 'percaya', 'kebohongan', 'diaprabowo']","['sebar', 'bohong', 'massifstatement', 'bohong', 'bengis', 'jahat', 'sengaja', 'tebar', 'hoax', 'dar', 'jatuh', 'prabowotidak', 'anggar', 'kemhan', 'triliun', 'alutsista', 'bekas', 'omonomon', 'alias', 'bohong', 'tersebutanggaran', 'kemhan', 'triliun', 'sejahtera', 'prajurit', 'dinas', 'didik', 'sakit', 'tentara', 'dll', 'triliun', 'belanja', 'alutsista', 'sd', 'anggar', 'kemhan', 'triliun', 'belanja', 'prajurit', 'sejahtera', 'pelihara', 'alutsista', 'dll', 'alutsista', 'persen', 'sd', 'persen', 'triliun', 'sd', 'terang', 'bohong', 'arang', 'jatuh', 'prabowoklarifikasi', 'bohong', 'debat', 'bohong', 'sebar', 'seluruh', 'laku', 'bohong', 'sengaja', 'jahat', 'percaya', 'bohong', 'diaprabowo']"
122,curcol buat anies baswedan orang papua rawat persatuan dan kebhinekaanwarga papua curhat ke anies baswedanmereka tdk mau disebut separatis krn warga papua sdh merawat persatuan dan  choymarkochoy bospurwa restyjcayah,curcol rawat persatuan kebhinekaanwarga curhat baswedanmereka tdk separatis krn warga sdh merawat persatuan choymarkochoy bospurwa restyjcayah,"['curcol', 'rawat', 'persatuan', 'kebhinekaanwarga', 'curhat', 'baswedanmereka', 'tdk', 'separatis', 'krn', 'warga', 'sdh', 'merawat', 'persatuan', 'choymarkochoy', 'bospurwa', 'restyjcayah']","['curcol', 'rawat', 'persatuan', 'kebhinekaanwarga', 'curhat', 'baswedanmereka', 'tidak', 'separatis', 'karena', 'warga', 'sudah', 'merawat', 'persatuan', 'choymarkochoy', 'bospurwa', 'restyjcayah']","['curcol', 'rawat', 'satu', 'kebhinekaanwarga', 'curhat', 'baswedanmereka', 'tidak', 'separatis', 'karena', 'warga', 'sudah', 'rawat', 'satu', 'choymarkochoy', 'bospurwa', 'restyjcayah']"
123,satusatunya hilirisasi yang paling mungkin dijalankan prabowogibran ketika berkuasa adalah hilirisasi kkn mereka sangat memenuhi semua prasyarat untuk melancarkannyamaka dari itu coblos mereka jika kalian ingin keamburadulan total rejim jokowi lanjut ke part tiga  ,satusatunya hilirisasi dijalankan berkuasa hilirisasi kkn memenuhi prasyarat melancarkannyamaka coblos keamburadulan total rejim part,"['satusatunya', 'hilirisasi', 'dijalankan', 'berkuasa', 'hilirisasi', 'kkn', 'memenuhi', 'prasyarat', 'melancarkannyamaka', 'coblos', 'keamburadulan', 'total', 'rejim', 'part']","['satusatunya', 'hilirisasi', 'dijalankan', 'berkuasa', 'hilirisasi', 'kkn', 'memenuhi', 'prasyarat', 'melancarkannyamaka', 'coblos', 'keamburadulan', 'total', 'rejim', 'part']","['satusatunya', 'hilir', 'jalan', 'kuasa', 'hilir', 'kkn', 'penuh', 'prasyarat', 'melancarkannyamaka', 'coblos', 'amburadul', 'total', 'rejim', 'part']"
